year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name
2020,        ,12,69,50,2,0,1,0,   54310,       0,    9759,    1692,   44551,    1692, 18.0,  3.1, 82.0,  3.1, 18.0,  3.1, 82.0,  3.1,Florida                                                               ,Lake County                                  
2020,        ,12,69,50,0,0,0,4,  173143,    3230,   33859,    3209,  139284,    3963, 19.6,  1.8, 80.4,  1.8, 12.6,  1.2, 51.8,  1.5,Florida                                                               ,Lake County                                  
2020,        ,12,67,50,1,0,1,0,    2034,       0,     495,      91,    1539,      91, 24.3,  4.5, 75.7,  4.5, 24.3,  4.5, 75.7,  4.5,Florida                                                               ,Lafayette County                             
2020,        ,12,119,50,3,0,2,3,    1937,     255,     459,     201,    1478,     268, 23.7,  9.8, 76.3,  9.8,  3.6,  1.6, 11.6,  2.1,Florida                                                               ,Sumter County                                
2020,        ,12,89,50,2,0,1,3,    1568,     195,     484,     156,    1084,     190, 30.9,  8.9, 69.1,  8.9,  3.3,  1.1,  7.4,  1.3,Florida                                                               ,Nassau County                                
2020,        ,12,79,50,3,0,1,4,    1134,      75,     207,      73,     927,      92, 18.3,  6.3, 81.7,  6.3, 12.6,  4.4, 56.3,  5.6,Florida                                                               ,Madison County                               
2020,        ,12,87,50,5,0,2,2,    6380,     355,    1943,     423,    4437,     461, 30.5,  6.3, 69.5,  6.3,  9.4,  2.0, 21.5,  2.2,Florida                                                               ,Monroe County                                
2020,        ,12,93,50,5,0,0,1,    8249,     336,    2716,     410,    5533,     437, 32.9,  4.7, 67.1,  4.7, 13.0,  2.0, 26.5,  2.1,Florida                                                               ,Okeechobee County                            
2020,        ,12,83,50,5,0,2,0,   92153,       0,   15687,    2414,   76466,    2414, 17.0,  2.6, 83.0,  2.6, 17.0,  2.6, 83.0,  2.6,Florida                                                               ,Marion County                                
2020,        ,12,1,50,5,0,0,1,   50888,    1967,   10489,    1641,   40399,    2222, 20.6,  3.1, 79.4,  3.1,  6.9,  1.1, 26.4,  1.5,Florida                                                               ,Alachua County                               
2020,        ,12,75,50,2,0,0,0,   13466,       0,    2462,     408,   11004,     408, 18.3,  3.0, 81.7,  3.0, 18.3,  3.0, 81.7,  3.0,Florida                                                               ,Levy County                                  
2020,        ,12,57,50,0,0,1,1,  179708,    5378,   41082,    4244,  138626,    5710, 22.9,  2.2, 77.1,  2.2,  6.6,  0.7, 22.3,  0.9,Florida                                                               ,Hillsborough County                          
2020,        ,12,5,50,4,0,0,1,   14641,     685,    1289,     401,   13352,     730,  8.8,  2.7, 91.2,  2.7,  3.6,  1.1, 37.4,  2.0,Florida                                                               ,Bay County                                   
2020,        ,12,69,50,5,0,0,3,   30853,    2192,   10582,    1609,   20271,    1999, 34.3,  4.6, 65.7,  4.6,  5.6,  0.8, 10.7,  1.1,Florida                                                               ,Lake County                                  
2020,        ,12,9,50,5,0,1,5,   65672,    1930,   14837,    1883,   50835,    2388, 22.6,  2.8, 77.4,  2.8,  9.2,  1.2, 31.4,  1.5,Florida                                                               ,Brevard County                               
2020,        ,12,113,50,3,0,2,1,    4116,     652,    1021,     409,    3095,     602, 24.8,  8.9, 75.2,  8.9,  5.2,  2.1, 15.6,  3.0,Florida                                                               ,Santa Rosa County                            
2020,        ,12,27,50,1,0,2,1,    4346,     230,    1350,     298,    2996,     309, 31.1,  6.5, 68.9,  6.5, 15.5,  3.4, 34.3,  3.5,Florida                                                               ,DeSoto County                                
2020,        ,12,35,50,0,0,1,0,   38697,       0,    5901,     855,   32796,     855, 15.2,  2.2, 84.8,  2.2, 15.2,  2.2, 84.8,  2.2,Florida                                                               ,Flagler County                               
2020,        ,12,27,50,3,0,2,5,    1304,     127,     225,      79,    1079,     132, 17.3,  5.9, 82.7,  5.9,  7.3,  2.6, 34.9,  4.3,Florida                                                               ,DeSoto County                                
2020,        ,12,23,50,2,0,2,2,    4743,     283,     887,     258,    3856,     325, 18.7,  5.2, 81.3,  5.2,  8.2,  2.4, 35.5,  3.0,Florida                                                               ,Columbia County                              
2020,        ,12,27,50,3,0,2,4,    2288,     121,     470,     170,    1818,     192, 20.5,  7.3, 79.5,  7.3, 15.2,  5.5, 58.7,  6.2,Florida                                                               ,DeSoto County                                
2020,        ,12,89,50,4,0,0,1,    5345,     354,     624,     207,    4721,     365, 11.7,  3.8, 88.3,  3.8,  3.3,  1.1, 25.2,  1.9,Florida                                                               ,Nassau County                                
2020,        ,12,0,40,5,3,2,2,  798242,   12782,  254219,   12663,  544023,   14791, 31.8,  1.5, 68.2,  1.5, 14.8,  0.7, 31.7,  0.9,Florida                                                               ,                                             
