year,county_name,state_name,NIPR,PCTUI,PCTIC,PCTELIG,PCTLIIC
2020,                                             ,Florida                                                               ,186421,26.6,73.4,4.9,13.5
2020,Gilchrist County                             ,Florida                                                               ,4803,16.1,83.9,16.1,83.9
2020,Pasco County                                 ,Florida                                                               ,140164,16.7,83.3,10.6,52.8
2020,Washington County                            ,Florida                                                               ,3322,10.7,89.3,7.0,58.1
2020,Palm Beach County                            ,Florida                                                               ,47833,40.3,59.7,8.5,12.6
2020,Liberty County                               ,Florida                                                               ,1784,19.6,80.4,9.5,39.1
2020,Hillsborough County                          ,Florida                                                               ,178662,16.9,83.1,6.7,33.0
2020,Hendry County                                ,Florida                                                               ,23064,33.7,66.3,33.7,66.3
2020,Walton County                                ,Florida                                                               ,17543,19.3,80.7,11.3,47.5
2020,Santa Rosa County                            ,Florida                                                               ,23885,34.2,65.8,7.7,14.8
2020,                                             ,Florida                                                               ,1746029,23.3,76.7,4.8,15.9
2020,Nassau County                                ,Florida                                                               ,7523,23.9,76.1,7.1,22.6
2020,Baker County                                 ,Florida                                                               ,5336,16.0,84.0,7.6,40.1
2020,Indian River County                          ,Florida                                                               ,9447,37.9,62.1,9.7,15.9
2020,Nassau County                                ,Florida                                                               ,37869,17.6,82.4,9.5,44.6
2020,Glades County                                ,Florida                                                               ,1572,35.4,64.6,17.5,32.0
2020,Polk County                                  ,Florida                                                               ,17827,22.2,77.8,6.3,22.0
2020,Duval County                                 ,Florida                                                               ,283501,17.3,82.7,17.3,82.7
2020,Lake County                                  ,Florida                                                               ,5569,32.2,67.8,5.2,10.9
2020,Dixie County                                 ,Florida                                                               ,804,14.9,85.1,7.2,41.2
2020,Liberty County                               ,Florida                                                               ,1809,16.3,83.7,16.3,83.7
2020,Indian River County                          ,Florida                                                               ,11455,29.8,70.2,8.5,20.0
2020,Pinellas County                              ,Florida                                                               ,331249,13.6,86.4,13.6,86.4
2020,DeSoto County                                ,Florida                                                               ,2822,33.7,66.3,11.5,22.6
2020,Walton County                                ,Florida                                                               ,29818,14.4,85.6,14.4,85.6
2020,Highlands County                             ,Florida                                                               ,16634,29.4,70.6,21.6,51.7
2020,Osceola County                               ,Florida                                                               ,109499,19.4,80.6,19.4,80.6
2020,Santa Rosa County                            ,Florida                                                               ,153289,14.3,85.7,14.3,85.7
2020,Brevard County                               ,Florida                                                               ,28399,26.7,73.3,7.8,21.3
2020,Orange County                                ,Florida                                                               ,546904,23.9,76.1,14.6,46.5
2020,Orange County                                ,Florida                                                               ,1191190,14.8,85.2,14.8,85.2
2020,Marion County                                ,Florida                                                               ,122511,17.2,82.8,17.2,82.8
2020,                                             ,Florida                                                               ,626508,30.9,69.1,6.3,14.0
2020,Lake County                                  ,Florida                                                               ,54310,18.0,82.0,18.0,82.0
2020,Lake County                                  ,Florida                                                               ,173143,19.6,80.4,12.6,51.8
2020,Lafayette County                             ,Florida                                                               ,2034,24.3,75.7,24.3,75.7
2020,Sumter County                                ,Florida                                                               ,1937,23.7,76.3,3.6,11.6
2020,Nassau County                                ,Florida                                                               ,1568,30.9,69.1,3.3,7.4
2020,Madison County                               ,Florida                                                               ,1134,18.3,81.7,12.6,56.3
2020,Monroe County                                ,Florida                                                               ,6380,30.5,69.5,9.4,21.5
2020,Okeechobee County                            ,Florida                                                               ,8249,32.9,67.1,13.0,26.5
2020,Marion County                                ,Florida                                                               ,92153,17.0,83.0,17.0,83.0
2020,Alachua County                               ,Florida                                                               ,50888,20.6,79.4,6.9,26.4
2020,Levy County                                  ,Florida                                                               ,13466,18.3,81.7,18.3,81.7
2020,Hillsborough County                          ,Florida                                                               ,179708,22.9,77.1,6.6,22.3
2020,Bay County                                   ,Florida                                                               ,14641,8.8,91.2,3.6,37.4
2020,Lake County                                  ,Florida                                                               ,30853,34.3,65.7,5.6,10.7
2020,Brevard County                               ,Florida                                                               ,65672,22.6,77.4,9.2,31.4
2020,Santa Rosa County                            ,Florida                                                               ,4116,24.8,75.2,5.2,15.6
2020,DeSoto County                                ,Florida                                                               ,4346,31.1,68.9,15.5,34.3
2020,Flagler County                               ,Florida                                                               ,38697,15.2,84.8,15.2,84.8
2020,DeSoto County                                ,Florida                                                               ,1304,17.3,82.7,7.3,34.9
2020,Columbia County                              ,Florida                                                               ,4743,18.7,81.3,8.2,35.5
2020,DeSoto County                                ,Florida                                                               ,2288,20.5,79.5,15.2,58.7
2020,Nassau County                                ,Florida                                                               ,5345,11.7,88.3,3.3,25.2
2020,                                             ,Florida                                                               ,798242,31.8,68.2,14.8,31.7
2021,Taylor County                                ,Florida                                                               ,5680,15.0,85.0,11.6,65.9
2021,DeSoto County                                ,Florida                                                               ,4396,28.1,71.9,16.4,41.9
2021,Lee County                                   ,Florida                                                               ,48312,37.7,62.3,9.4,15.5
2021,Okeechobee County                            ,Florida                                                               ,5287,28.7,71.3,14.7,36.5
2021,Okaloosa County                              ,Florida                                                               ,34863,20.8,79.2,12.1,46.3
2021,Clay County                                  ,Florida                                                               ,8068,31.7,68.3,3.8,8.3
2021,Osceola County                               ,Florida                                                               ,124509,19.6,80.4,9.8,40.2
2021,Liberty County                               ,Florida                                                               ,2600,20.8,79.2,15.5,59.0
2021,Collier County                               ,Florida                                                               ,33140,22.8,77.2,9.8,33.2
2021,                                             ,Florida                                                               ,57706,27.1,72.9,6.1,16.5
2021,Clay County                                  ,Florida                                                               ,2890,21.7,78.3,2.7,9.7
2021,Union County                                 ,Florida                                                               ,616,11.2,88.8,7.8,62.2
2021,Leon County                                  ,Florida                                                               ,38594,6.0,94.0,4.1,64.2
2021,                                             ,Florida                                                               ,723073,37.7,62.3,15.7,25.9
2021,Brevard County                               ,Florida                                                               ,69792,16.4,83.6,8.2,41.7
2021,Manatee County                               ,Florida                                                               ,88360,23.9,76.1,9.5,30.3
2021,Holmes County                                ,Florida                                                               ,2824,21.5,78.5,12.0,43.8
2021,Baker County                                 ,Florida                                                               ,5112,18.9,81.1,4.4,18.7
